number,short_description,category,cmdb_ci,description,assignment_group
INC0000001,Can't read email,Network,MailServerUS,"User can't access email on mail.company.com.
		",Service Desk
INC0000004,Forgot email password,Inquiry / Help,,User forgot their email password.,Service Desk
INC0000005,CPU load high for over 10 minutes,Hardware,ApplicationServerPeopleSoft,Watcher daemon detected that the CPU was 100% busy for more than 10 minutes,Hardware
INC0000006,Hangs when trying to print VISIO document,Software,,"When I try to print VISIO, my whole computer just freezes and stops working.",Software
INC0000008,Printer in my office is out of toner,Inquiry / Help,,Where do I find toner for the HP 950C I have?,Hardware
INC0000009,Reset my password,Inquiry / Help,,I can't remember my password and need to log in. Can someone reset my password asap? I am blocked on several urgent items until I can log in again.,Service Desk
INC0000010,Need Oracle 10GR2 installed,Database,,Currently running 10GR1 and need to upgrade to 10GR2.,Database
INC0000011,Need new Blackberry set up,Inquiry / Help,,I'm replacing my old phone with a Blackberry and require assistance to get it set up. I'd like to get the files and contacts transferred to the new phone and need help getting the two factor authentication app set up on it.,Hardware
INC0000012,Customer didn't receive eFax,Software,eFax,I tried sending a fax to a customer through the eFax online portal and also via email. My customer did not receive the fax in both instances. I don't know if this is an issue on our side with transmission or on my customer's side.,Database
INC0000013,EMAIL is slow when an attachment is involved,Inquiry / Help,,"Noticing today that any time I send an email with an attachment, it takes at least 20 seconds to send. This happens regardless of the attachment size.",Software
INC0000014,Missing my home directory,Inquiry / Help,,Logged in and didn't see my home directory. Logged out and back in again and it's still not appearing. I'm completely blocked until this is resolved.,
INC0000021,New employee hire,Inquiry / Help,,"We have a new hire starting on Monday. She will need to be set up with a desk, laptop, phone, email account, and systems access.",
INC0000024,Issue with a web page on wiki,Inquiry / Help,,The landing page for our internal wiki isn't loading. I've refreshed it multiple times and it keeps timing out.,Service Desk
INC0000026,Seem to have an issue with my hard drive...,Hardware,,Hard drive has been making a loud grinding noise for the last two days.,Hardware
INC0000028,My disk is still having issues. Can't delete a file,Inquiry / Help,,Hard drive is still making grinding and clicking noises and now I can't delete a file. I've tried to delete it 3 times.,Service Desk
INC0000030,Lost connection to the wireless network,Hardware,,"Can't connect to wifi. Keep getting ""unable to join network"" message.",Network
INC0000032,EMAIL Server Down Again,Inquiry / Help,,Multiple employees have reported that they are unable to send/receive email.,Hardware
INC0000033,File Server is 80% full - Needs upgrade,Inquiry / Help,,2tb file server has less than 400gb free.,Hardware
INC0000034,Does not look like a backup occurred last night,Software,,Last automated backup occurred two nights ago. Did we change automated backup schedule?,Software
INC0000035,Reset my password,Inquiry / Help,CALLXPR1,Forgot password and unable to log in. Can you reset or resend my password?,Service Desk
INC0000036,Issue with networking,Inquiry / Help,DatabaseServer2,Experiencing connection issues. Unable to create connection to data source.,Network
INC0000038,my PDF docs are all locked from editing,Software,Adobe Acrobat 7.0.3 and Reader 7.0.3 Update,Unable to edit any PDFs in Acrobat. All my PDFs are read only now. How do I unlock them?,Service Desk
INC0000060,Unable to connect to email,Inquiry / Help,Storage Area Network 001,I am unable to connect to the email server. It appears to be down.,Network
INC0000601,The USB port on my PC stopped working,Hardware,*BETH-IBM,,
INC0009002,My computer is not detecting the headphone device,Hardware,,My computer is not detecting the headphone device. It could be an issue with the USB port.,
INC0009003,Cannot sign into the company portal app,Inquiry / Help,,Having an issue with users trying to access the company portal app,
INC0009004,Defect tracking tool is down.,Software,,"While launching the defect tracking base URL, it is redirecting to an error page.",
